,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
374,Mokhsogollokh,RU,61.47,128.92,1601717200,34.03,85,96,3.04
375,Birnin Kebbi,NG,12.45,4.2,1601717141,83.46,65,99,5.19
376,Koumac,NC,-20.57,164.28,1601717201,70.02,76,41,18.77
377,Luena,AO,-11.78,19.92,1601717202,92.91,33,0,0.81
378,Shumikha,RU,55.23,63.3,1601717203,58.91,66,82,13.11
379,Airai,TL,-8.93,125.41,1601717203,67.93,73,85,4.14
380,Carnarvon,AU,-24.87,113.63,1601717204,69.8,43,0,24.16
381,Kharhiāl,IN,20.28,82.77,1601717205,88.52,61,58,5.53
382,Mushie,CD,-3.02,16.9,1601717205,88.9,55,1,3.24
383,Dābhol,IN,17.6,73.17,1601717206,85.35,69,14,6.76
384,Nizhneangarsk,RU,55.78,109.55,1601717207,38.32,66,1,2.89
385,Songkhla,TH,6.83,100.67,1601717016,80.6,88,75,13.87
386,Walvis Bay,NA,-22.96,14.51,1601717208,62.6,55,0,4.7
387,Honningsvåg,NO,70.98,25.97,1601717208,49.24,82,7,22.55
388,San Luis,AR,-33.3,-66.34,1601717209,44.4,69,28,15.64
389,Kjøpsvik,NO,68.1,16.37,1601717209,55.0,66,10,5.82
390,Umm Kaddadah,SD,13.6,26.69,1601717210,91.33,36,0,4.52
391,Santa Cruz del Norte,CU,23.15,-81.92,1601717210,75.2,100,20,4.7
392,Vigía del Fuerte,CO,6.58,-76.89,1601717211,72.45,96,65,1.79
393,Wagar,SD,16.15,36.2,1601717106,102.15,14,18,18.32
394,Florence,IT,43.77,11.25,1601717009,60.8,82,75,5.82
395,Platteville,US,42.73,-90.48,1601717213,44.6,93,90,4.7
396,Katherine,AU,-14.47,132.27,1601717214,93.2,23,100,8.05
397,Lázaro Cárdenas,MX,17.96,-102.2,1601717214,75.36,60,29,6.8
398,Margate,GB,51.38,1.39,1601717215,55.0,97,90,1.99
399,Arrondissement de Saint-Denis,FR,48.92,2.33,1601717215,55.4,76,20,9.17
400,Mtsensk,RU,53.28,36.57,1601717216,63.39,46,100,12.21
401,Gaomi,CN,36.38,119.75,1601717217,68.0,68,100,2.24
402,Shitanjing,CN,39.23,106.34,1601717217,47.12,44,0,19.51
403,Pangnirtung,CA,66.15,-65.71,1601717218,25.11,88,67,3.38
404,Juazeiro,BR,-9.41,-40.5,1601717151,71.6,78,75,10.29
405,Gravdal,NO,68.12,13.5,1601717219,53.6,71,0,2.24
406,Atambua,ID,-9.11,124.89,1601717219,79.38,64,80,1.07
407,Kindu,CD,-2.95,25.95,1601717221,85.84,59,70,3.38
408,Nador,MA,35.17,-2.93,1601717221,66.2,52,42,20.8
409,Rutland,US,43.62,-73.02,1601717161,43.0,100,90,3.36
410,Pochutla,MX,15.74,-96.47,1601717222,75.0,89,38,3.91
411,Pag,HR,44.45,15.06,1601717223,77.0,69,20,33.33
412,Kapoeta,SS,4.77,33.59,1601717224,88.92,38,32,14.76
413,Port Macquarie,AU,-31.43,152.92,1601717224,63.0,80,0,13.51
414,Marquette,US,46.53,-87.63,1601717225,37.0,90,98,1.01
415,Golubitskaya,RU,45.32,37.28,1601717225,73.4,56,88,6.71
416,Pundaguitan,PH,6.37,126.17,1601717226,84.94,72,85,8.48
417,São Filipe,CV,14.9,-24.5,1601717227,80.69,74,18,9.19
418,Seoul,KR,37.57,126.98,1601717117,71.6,46,75,7.29
419,Kulhudhuffushi,MV,6.62,73.07,1601717228,81.95,76,100,14.43
420,Manmād,IN,20.25,74.45,1601717021,89.06,41,32,9.24
421,Paamiut,GL,61.99,-49.67,1601717229,36.5,87,70,1.7
422,Marsh Harbour,BS,26.54,-77.06,1601717230,82.44,79,100,15.5
423,Kang,BW,-23.68,22.79,1601717230,83.75,18,0,3.09
424,Ha Giang,VN,22.83,104.98,1601717231,86.99,65,57,4.07
425,Bantou,CN,26.22,117.49,1601717232,85.32,64,95,3.11
426,Brownsville,US,25.9,-97.5,1601717232,75.0,93,1,3.58
427,Dabakala,CI,8.37,-4.43,1601717233,75.76,88,100,4.63
428,Yumen,CN,40.28,97.2,1601717234,57.13,28,0,23.33
429,Comodoro Rivadavia,AR,-45.87,-67.5,1601717234,33.8,64,0,3.36
430,São José da Coroa Grande,BR,-8.9,-35.15,1601717235,75.85,81,65,9.75
431,Lagoa,PT,39.05,-27.98,1601717235,68.88,80,100,17.9
432,Buala,SB,-8.14,159.59,1601717106,80.51,77,0,5.7
433,Koszalin,PL,54.19,16.17,1601717236,61.0,76,36,16.8
434,Batagay,RU,67.63,134.63,1601717237,33.78,76,100,14.34
435,Doha,QA,25.29,51.53,1601717043,100.4,35,0,8.05
436,Flinders,AU,-34.58,150.86,1601717238,68.0,72,0,1.01
437,Olinda,BR,-8.01,-34.86,1601717239,80.6,65,33,9.17
438,Nanzhou,CN,29.36,112.4,1601717240,59.25,93,99,11.63
439,Ostrovnoy,RU,68.05,39.51,1601717240,43.79,62,95,8.99
440,Ixtapa,MX,20.7,-105.2,1601717241,78.01,73,4,4.43
441,Parabel',RU,58.7,81.48,1601717242,54.16,79,100,12.88
442,Liepāja,LV,56.54,21.04,1601717243,57.2,82,84,14.99
443,Torbay,CA,47.67,-52.73,1601717243,69.01,100,90,17.22
444,Urucará,BR,-2.54,-57.76,1601717244,75.49,81,54,2.35
445,La Libertad,EC,-2.23,-80.9,1601717245,67.28,86,100,7.31
446,Māngrol,IN,21.12,70.12,1601717245,85.66,66,7,9.84
447,Bima,ID,-8.47,118.72,1601717246,87.67,52,17,3.24
448,Hamilton,US,39.18,-84.53,1601717240,48.0,81,36,2.15
449,Babu,CN,24.42,111.52,1601717247,88.63,62,98,5.08
450,Kavieng,PG,-2.57,150.8,1601716986,83.12,73,61,10.63
451,Perry,US,37.25,-83.2,1601717248,44.6,81,1,1.45
452,Zhezkazgan,KZ,47.8,67.71,1601717249,62.6,33,0,6.71
453,Tolaga Bay,NZ,-38.37,178.3,1601717250,55.81,66,0,7.9
454,Amahai,ID,-3.33,128.92,1601717250,77.99,87,100,3.89
455,Altukhovo,RU,52.67,34.36,1601717251,64.4,42,20,11.18
456,De Aar,ZA,-30.65,24.01,1601717252,61.12,33,0,13.51
457,Progreso,MX,21.28,-89.67,1601717252,75.0,96,99,24.94
458,Puerto Colombia,CO,10.99,-74.95,1601717253,77.0,100,40,5.82
459,Madera,US,37.17,-119.83,1601717131,70.0,72,90,5.82
460,Klichka,RU,50.45,118.0,1601717254,40.86,84,100,10.0
461,Praia,CV,14.92,-23.51,1601717255,80.6,74,20,24.16
462,Havelock,US,34.88,-76.9,1601717255,62.01,72,20,9.17
463,São João da Barra,BR,-21.64,-41.05,1601717256,73.4,94,0,11.41
464,Zhanjiang,CN,21.28,110.34,1601717257,83.53,79,23,13.38
465,Tutóia,BR,-2.76,-42.27,1601717258,77.47,78,74,13.04
466,General Roca,AR,-39.03,-67.58,1601717258,39.2,72,75,10.29
467,Lyubech,UA,51.7,30.66,1601717259,64.54,61,78,11.95
468,Qaqortoq,GL,60.72,-46.03,1601717259,37.4,86,75,5.64
469,Burnie,AU,-41.07,145.92,1601717261,60.01,72,100,8.01
470,Guangyuan,CN,32.44,105.82,1601717261,70.0,96,100,15.01
471,South Yuba City,US,39.12,-121.64,1601717262,64.4,67,90,2.06
472,Kollam,IN,8.88,76.6,1601717262,86.0,84,20,9.17
473,San Borja,BO,-14.82,-66.85,1601717263,75.43,63,0,1.7
474,Oistins,BB,13.07,-59.53,1601717264,77.0,88,75,13.87
475,Barra Patuca,HN,15.8,-84.28,1601717264,75.25,92,99,6.35
476,Grand Forks,US,47.93,-97.03,1601717265,42.8,75,90,1.36
477,Manyana,BW,-23.4,21.72,1601717266,83.37,13,8,2.98
478,Bambous Virieux,MU,-20.34,57.76,1601717266,82.4,51,20,11.41
479,Opuwo,NA,-18.06,13.84,1601717267,86.05,11,82,4.63
480,Bethanien,NA,-26.5,17.16,1601717268,67.5,23,0,7.92
481,Nelson Bay,AU,-32.72,152.15,1601717268,68.0,72,0,10.29
482,Antofagasta,CL,-23.65,-70.4,1601717239,57.2,76,90,4.7
483,Leopold,AU,-38.18,144.47,1601717269,66.99,72,95,14.99
484,Henties Bay,NA,-22.12,14.28,1601717270,55.99,85,4,8.61
485,Provideniya,RU,64.38,-173.3,1601717271,41.58,85,84,11.25
486,Sørland,NO,67.67,12.69,1601717271,55.4,76,0,11.41
487,Leer,SS,8.3,30.14,1601717272,87.4,71,13,1.57
488,Inírida,CO,3.87,-67.92,1601717273,71.4,97,23,2.28
489,Vila Velha,BR,-20.33,-40.29,1601717273,75.99,83,17,13.87
490,Yangi Marg`ilon,UZ,40.43,71.72,1601717274,71.6,18,0,9.17
491,Cuicatlan,MX,17.8,-96.97,1601717275,63.45,70,88,0.07
492,Haines Junction,CA,60.75,-137.51,1601717276,41.13,79,0,7.2
493,Imeni Zhelyabova,RU,58.95,36.6,1601717277,59.04,63,100,6.33
494,Camacha,PT,33.08,-16.33,1601717277,69.8,88,40,14.99
495,Rawson,AR,-43.3,-65.1,1601717278,36.05,78,0,12.12
496,Jalu,LY,29.03,21.55,1601717279,96.93,19,0,15.5
497,Fairview,US,40.81,-74.0,1601717279,55.4,71,1,5.82
498,Sinnamary,GF,5.38,-52.95,1601717280,78.28,88,32,9.8
499,Wasilla,US,61.58,-149.44,1601717280,55.4,54,90,13.87
500,Bosaso,SO,11.28,49.18,1601717281,87.8,70,40,8.05
501,Luján,AR,-34.57,-59.1,1601717282,44.01,81,0,11.77
502,Porto Torres,IT,40.84,8.4,1601717282,68.0,68,40,16.11
503,Dolinsk,RU,47.35,142.8,1601717283,57.2,87,75,8.95
504,Praia da Vitória,PT,38.73,-27.07,1601717284,70.0,83,75,15.3
505,Powell River,CA,49.85,-124.54,1601717284,59.0,87,5,2.91
506,Sur,OM,22.57,59.53,1601717285,92.75,32,0,7.9
507,Ingham,US,42.6,-84.38,1601717285,39.2,93,1,4.97
508,Ordynskoye,RU,54.37,81.9,1601717286,55.13,58,2,10.71
509,Ljubinje,BA,42.95,18.09,1601717287,78.8,57,40,14.99
510,Abapó,BO,-18.83,-63.47,1601717288,67.84,57,86,3.6
511,Iranshahr,IR,27.2,60.68,1601717288,98.6,13,0,9.17
512,Hervey Bay,AU,-25.3,152.85,1601717289,70.0,75,0,4.0
513,High Level,CA,58.52,-117.14,1601717290,44.6,87,75,5.82
514,Umluj,SA,25.02,37.27,1601717290,93.54,42,14,18.05
515,Chernyshevskiy,RU,63.01,112.47,1601717291,33.28,88,97,10.85
516,Khani,GE,41.96,42.96,1601717291,77.0,50,1,4.7
517,Boa Vista,BR,2.82,-60.67,1601717110,78.8,78,66,2.24
518,Necochea,AR,-38.55,-58.74,1601717293,42.01,65,81,8.01
519,Manavālakurichi,IN,8.13,77.3,1601717294,86.0,84,20,9.17
520,Truth or Consequences,US,33.13,-107.25,1601717294,62.6,13,1,5.82
521,Abhā,SA,18.22,42.51,1601717295,78.8,12,0,9.17
522,Basqal,AZ,40.76,48.39,1601717295,75.2,50,20,4.7
523,Nibbar,TN,36.29,8.77,1601717296,75.2,64,40,11.41
524,Makakilo City,US,21.35,-158.09,1601717199,78.8,78,1,3.36
525,Sioux Lookout,CA,50.1,-91.92,1601717196,35.6,74,90,4.7
526,Havre-St-Pierre,CA,50.23,-63.6,1601717298,48.2,93,90,8.05
527,Exeter,GB,50.72,-3.53,1601717298,54.0,93,75,14.99
528,Östersund,SE,63.18,14.64,1601717299,48.2,87,100,9.17
529,Macon,US,39.87,-88.97,1601717299,44.6,93,90,3.36
530,Karibib,NA,-21.93,15.83,1601717300,78.44,12,1,4.18
531,Newport,GB,51.59,-3.0,1601717301,55.99,94,100,4.0
532,Tsabong,BW,-26.02,22.4,1601717301,72.54,19,0,0.89
533,Tigzirt,DZ,36.89,4.12,1601717302,62.85,67,100,11.65
534,Ust'-Ishim,RU,57.69,71.17,1601717303,51.31,81,98,9.6
535,Huarmey,PE,-10.07,-78.15,1601717304,60.96,88,69,8.14
536,Nome,US,64.5,-165.41,1601717304,46.99,75,90,8.05
537,Verāval,IN,20.9,70.37,1601717305,86.0,67,20,9.91
538,Kollegāl,IN,12.15,77.12,1601717306,86.0,55,40,17.22
539,Karasburg,NA,-28.02,18.75,1601717306,65.53,26,0,5.57
540,Prince Rupert,CA,54.32,-130.32,1601717307,57.2,93,90,3.36
541,Rocha,UY,-34.48,-54.33,1601717307,42.4,73,5,10.36
542,Puksoozero,RU,62.59,40.61,1601717308,49.5,75,59,6.64
543,Leh,IN,34.17,77.58,1601717309,56.03,21,0,9.06
544,Jilib,SO,0.49,42.79,1601717310,91.6,45,35,10.78
545,Big Spring,US,32.25,-101.48,1601717311,66.99,48,1,16.11
546,Sunndalsøra,NO,62.68,8.55,1601717311,60.8,51,70,23.04
547,Tefé,BR,-3.35,-64.71,1601717312,73.94,95,61,2.46
548,Noumea,NC,-22.28,166.46,1601717313,68.0,68,54,18.34
549,Pryazha,RU,61.69,33.62,1601717314,48.2,100,90,6.71
550,Cañar,EC,-2.55,-78.93,1601717314,46.4,100,81,3.36
551,Lichinga,MZ,-13.31,35.24,1601717315,77.0,53,40,14.99
552,Jos,NG,9.92,8.9,1601717316,72.82,62,96,14.47
553,Santa Margherita Ligure,IT,44.33,9.21,1601717316,60.01,93,100,16.87
554,Vágur,FO,61.47,-6.81,1601717317,50.07,89,100,21.68
555,Tsiroanomandidy,MG,-18.77,46.03,1601717317,97.93,19,30,4.63
556,São Félix do Xingu,BR,-6.64,-51.99,1601717318,71.69,68,86,0.56
